,tissue_in_publication,cell_type,mean,std,min,25%,50%,75%,max,gene,iqr,upper,lower,compartment
0,Bladder,endothelial cell of lymphatic vessel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
1,Bladder,capillary endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
2,Bladder,vein endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
3,Eye,endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
4,Eye,retinal blood vessel endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
5,Fat,endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
6,Heart,cardiac endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
7,Kidney,endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
8,Large_Intestine,gut endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
9,Liver,endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
10,Liver,endothelial cell of hepatic sinusoid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
11,Lung,blood vessel endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
12,Lung,endothelial cell of lymphatic vessel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
13,Lung,capillary endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
14,Lung,vein endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
15,Lung,endothelial cell of artery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
16,Lung,lung microvascular endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
17,Lymph_Node,endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
18,Mammary,endothelial cell of lymphatic vessel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
19,Mammary,vein endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
20,Mammary,endothelial cell of artery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
21,Muscle,endothelial cell of lymphatic vessel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
22,Muscle,endothelial cell of vascular tree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
23,Muscle,capillary endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
24,Muscle,endothelial cell of artery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
25,Pancreas,endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
26,Prostate,endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
27,Salivary_Gland,endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
28,Salivary_Gland,endothelial cell of lymphatic vessel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
29,Skin,endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
30,Small_Intestine,gut endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
31,Spleen,endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
32,Thymus,endothelial cell of lymphatic vessel,0.0036923836451023817,0.06067214161157608,0.0,0.0,0.0,0.0,0.9969435930252075,A3GALT2,0.0,0.0,0.0,endothelial
33,Thymus,capillary endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
34,Thymus,vein endothelial cell,0.0011044035200029612,0.02949756197631359,0.0,0.0,0.0,0.0,0.9568920731544495,A3GALT2,0.0,0.0,0.0,endothelial
35,Thymus,endothelial cell of artery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
36,Tongue,endothelial cell of lymphatic vessel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
37,Tongue,capillary endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
38,Tongue,vein endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
39,Tongue,endothelial cell of artery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
40,Trachea,endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
41,Uterus,endothelial cell,0.0005592616507783532,0.025371309369802475,0.0,0.0,0.0,0.0,1.1509604454040527,A3GALT2,0.0,0.0,0.0,endothelial
42,Uterus,endothelial cell of lymphatic vessel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
43,Vasculature,endothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
44,Vasculature,endothelial cell of lymphatic vessel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
45,Vasculature,endothelial cell of artery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,endothelial
46,Bladder,endothelial cell of lymphatic vessel,0.3532409965991974,0.4478573203086853,0.0,0.0,0.0,0.637489452958107,1.6253048181533813,A4GALT,0.637489452958107,1.5937236323952675,0.0,endothelial
47,Bladder,capillary endothelial cell,0.42599979043006897,0.45623794198036194,0.0,0.0,0.3232077807188034,0.7739320546388626,2.0216712951660156,A4GALT,0.7739320546388626,1.9348301365971565,0.0,endothelial
48,Bladder,vein endothelial cell,0.42040345072746277,0.45810917019844055,0.0,0.0,0.33676964044570923,0.7427782416343689,1.671233057975769,A4GALT,0.7427782416343689,1.671233057975769,0.0,endothelial
49,Eye,endothelial cell,0.2341233491897583,0.4145413935184479,0.0,0.0,0.0,0.4416344165802002,1.5849353075027466,A4GALT,0.4416344165802002,1.1040860414505005,0.0,endothelial
50,Eye,retinal blood vessel endothelial cell,0.37005195021629333,0.42738986015319824,0.0,0.0,0.19317655265331268,0.6558077335357666,1.7635748386383057,A4GALT,0.6558077335357666,1.6395193338394165,0.0,endothelial
51,Fat,endothelial cell,0.2584616243839264,0.4063681364059448,0.0,0.0,0.0,0.4867132306098938,2.151620864868164,A4GALT,0.4867132306098938,1.2167830765247345,0.0,endothelial
52,Heart,cardiac endothelial cell,0.25850000977516174,0.49815794825553894,0.0,0.0,0.0,0.0,2.1647109985351562,A4GALT,0.0,0.0,0.0,endothelial
53,Kidney,endothelial cell,0.1409892588853836,0.2849660813808441,0.0,0.0,0.0,0.0,1.192773699760437,A4GALT,0.0,0.0,0.0,endothelial
