,compartment,mean,std,min,25%,50%,75%,max,gene,iqr,upper,lower,cell_type,tissue_in_publication
0,endothelial,0.0001499246573075652,0.011816807091236115,0.0,0.0,0.0,0.0,1.1509604454040527,A3GALT2,0.0,0.0,0.0,all,all
1,endothelial,0.36158040165901184,0.5231150388717651,0.0,0.0,0.0,0.7557359933853149,3.0540964603424072,A4GALT,0.7557359933853149,1.8893399834632874,0.0,all,all
2,endothelial,6.454023241531104e-05,0.008349810726940632,0.0,0.0,0.0,0.0,1.3031749725341797,A4GNT,0.0,0.0,0.0,all,all
3,endothelial,0.06341783702373505,0.23749235272407532,0.0,0.0,0.0,0.0,2.154311418533325,ABO,0.0,0.0,0.0,all,all
4,endothelial,0.07246275246143341,0.2512842118740082,0.0,0.0,0.0,0.0,2.4971868991851807,AGA,0.0,0.0,0.0,all,all
5,endothelial,0.05100513622164726,0.2096918523311615,0.0,0.0,0.0,0.0,2.0354340076446533,ALG1,0.0,0.0,0.0,all,all
6,endothelial,0.027360010892152786,0.15499521791934967,0.0,0.0,0.0,0.0,2.0697460174560547,ALG10,0.0,0.0,0.0,all,all
7,endothelial,0.07415418326854706,0.26339828968048096,0.0,0.0,0.0,0.0,2.2732388973236084,ALG10B,0.0,0.0,0.0,all,all
8,endothelial,0.04584413021802902,0.2004231959581375,0.0,0.0,0.0,0.0,2.3999431133270264,ALG11,0.0,0.0,0.0,all,all
9,endothelial,0.053891345858573914,0.21410304307937622,0.0,0.0,0.0,0.0,2.1479361057281494,ALG12,0.0,0.0,0.0,all,all
10,endothelial,0.24239011108875275,0.43490421772003174,0.0,0.0,0.0,0.4203852117061615,2.6166915893554688,ALG13,0.4203852117061615,1.0509630292654037,0.0,all,all
11,endothelial,0.05898891016840935,0.22672300040721893,0.0,0.0,0.0,0.0,2.216658353805542,ALG14,0.0,0.0,0.0,all,all
12,endothelial,0.0009180324268527329,0.028385326266288757,0.0,0.0,0.0,0.0,1.5781854391098022,ALG1L,0.0,0.0,0.0,all,all
13,endothelial,0.005651986226439476,0.07132028043270111,0.0,0.0,0.0,0.0,1.6059271097183228,ALG1L2,0.0,0.0,0.0,all,all
14,endothelial,0.13571760058403015,0.33099478483200073,0.0,0.0,0.0,0.0,2.117774248123169,ALG2,0.0,0.0,0.0,all,all
15,endothelial,0.10037923604249954,0.2840821146965027,0.0,0.0,0.0,0.0,2.012350559234619,ALG3,0.0,0.0,0.0,all,all
16,endothelial,0.23609372973442078,0.4213204085826874,0.0,0.0,0.0,0.4213559329509735,2.389303207397461,ALG5,0.4213559329509735,1.0533898323774338,0.0,all,all
17,endothelial,0.06423559039831161,0.23704290390014648,0.0,0.0,0.0,0.0,2.3819875717163086,ALG6,0.0,0.0,0.0,all,all
18,endothelial,0.08156225830316544,0.2609371840953827,0.0,0.0,0.0,0.0,2.280039072036743,ALG8,0.0,0.0,0.0,all,all
19,endothelial,0.024441765621304512,0.14523755013942719,0.0,0.0,0.0,0.0,2.338799238204956,ALG9,0.0,0.0,0.0,all,all
20,endothelial,0.0558776780962944,0.2191818803548813,0.0,0.0,0.0,0.0,2.0943267345428467,AMDHD2,0.0,0.0,0.0,all,all
21,endothelial,0.03748590499162674,0.1827131062746048,0.0,0.0,0.0,0.0,2.212782144546509,ARSB,0.0,0.0,0.0,all,all
22,endothelial,0.026191962882876396,0.1544944941997528,0.0,0.0,0.0,0.0,2.6037192344665527,ARSG,0.0,0.0,0.0,all,all
23,endothelial,0.04377273842692375,0.19525347650051117,0.0,0.0,0.0,0.0,2.0521037578582764,ARSK,0.0,0.0,0.0,all,all
24,endothelial,0.08912377059459686,0.32178419828414917,0.0,0.0,0.0,0.0,3.291130304336548,B3GALNT1,0.0,0.0,0.0,all,all
25,endothelial,0.10983159393072128,0.3045399785041809,0.0,0.0,0.0,0.0,2.586409330368042,B3GALNT2,0.0,0.0,0.0,all,all
26,endothelial,0.0011302921921014786,0.03139511123299599,0.0,0.0,0.0,0.0,1.5159313678741455,B3GALT1,0.0,0.0,0.0,all,all
27,endothelial,0.011315115727484226,0.10562538355588913,0.0,0.0,0.0,0.0,2.0009267330169678,B3GALT2,0.0,0.0,0.0,all,all
28,endothelial,0.07271788269281387,0.25118815898895264,0.0,0.0,0.0,0.0,2.1536378860473633,B3GALT4,0.0,0.0,0.0,all,all
29,endothelial,0.0003209128917660564,0.016111040487885475,0.0,0.0,0.0,0.0,1.2495579719543457,B3GALT5,0.0,0.0,0.0,all,all
30,endothelial,0.09047330170869827,0.26810526847839355,0.0,0.0,0.0,0.0,2.1446011066436768,B3GALT6,0.0,0.0,0.0,all,all
