,tissue_in_publication,mean,std,min,25%,50%,75%,max,gene,iqr,upper,lower,cell_type,compartment
0,Bladder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,endothelial
1,Eye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,endothelial
2,Fat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,endothelial
3,Heart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,endothelial
4,Kidney,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,endothelial
5,Large_Intestine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,endothelial
6,Liver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,endothelial
7,Lung,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,endothelial
8,Lymph_Node,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,endothelial
9,Mammary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,endothelial
10,Muscle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,endothelial
11,Pancreas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,endothelial
12,Prostate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,endothelial
13,Salivary_Gland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,endothelial
14,Skin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,endothelial
15,Small_Intestine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,endothelial
16,Spleen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,endothelial
17,Thymus,0.0007964334217831492,0.026058975607156754,0.0,0.0,0.0,0.0,0.9969435930252075,A3GALT2,0.0,0.0,0.0,all,endothelial
18,Tongue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,endothelial
19,Trachea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,endothelial
20,Uterus,0.0005375807522796094,0.02487403340637684,0.0,0.0,0.0,0.0,1.1509604454040527,A3GALT2,0.0,0.0,0.0,all,endothelial
21,Vasculature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,endothelial
22,Bladder,0.41140905022621155,0.4554942846298218,0.0,0.0,0.3239229917526245,0.7427782416343689,2.0216712951660156,A4GALT,0.7427782416343689,1.8569456040859222,0.0,all,endothelial
23,Eye,0.345796138048172,0.4279458522796631,0.0,0.0,0.0,0.6467895805835724,1.7635748386383057,A4GALT,0.6467895805835724,1.616973951458931,0.0,all,endothelial
24,Fat,0.2584616243839264,0.4063681364059448,0.0,0.0,0.0,0.4867132306098938,2.151620864868164,A4GALT,0.4867132306098938,1.2167830765247345,0.0,all,endothelial
25,Heart,0.25850000977516174,0.49815794825553894,0.0,0.0,0.0,0.0,2.1647109985351562,A4GALT,0.0,0.0,0.0,all,endothelial
