,tissue_in_publication,mean,std,min,25%,50%,75%,max,gene,iqr,upper,lower,cell_type,compartment
0,Bladder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,epithelial
1,Eye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,epithelial
2,Heart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,epithelial
3,Kidney,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,epithelial
4,Large_Intestine,0.00014412378368433565,0.01093973871320486,0.0,0.0,0.0,0.0,0.8304412364959717,A3GALT2,0.0,0.0,0.0,all,epithelial
5,Liver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,epithelial
6,Lung,5.29615645064041e-05,0.004603658802807331,0.0,0.0,0.0,0.0,0.48150333762168884,A3GALT2,0.0,0.0,0.0,all,epithelial
7,Mammary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,epithelial
8,Pancreas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,epithelial
9,Prostate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,epithelial
10,Salivary_Gland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,epithelial
11,Small_Intestine,0.00029737333534285426,0.011760147288441658,0.0,0.0,0.0,0.0,0.5185154676437378,A3GALT2,0.0,0.0,0.0,all,epithelial
12,Thymus,0.0025435821153223515,0.02672184444963932,0.0,0.0,0.0,0.0,0.33687272667884827,A3GALT2,0.0,0.0,0.0,all,epithelial
13,Tongue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,epithelial
14,Trachea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,epithelial
15,Uterus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,epithelial
16,Bladder,0.23733015358448029,0.29309961199760437,0.0,0.0,0.13448412716388702,0.42085886746644974,2.0702502727508545,A4GALT,0.42085886746644974,1.0521471686661243,0.0,all,epithelial
17,Eye,0.5134555697441101,0.5631957054138184,0.0,0.0,0.3662334978580475,0.9367067366838455,2.765817880630493,A4GALT,0.9367067366838455,2.341766841709614,0.0,all,epithelial
18,Heart,0.010826393030583858,0.101832814514637,0.0,0.0,0.0,0.0,1.5305169820785522,A4GALT,0.0,0.0,0.0,all,epithelial
19,Kidney,0.09610951691865921,0.26498842239379883,0.0,0.0,0.0,0.0,1.8913812637329102,A4GALT,0.0,0.0,0.0,all,epithelial
20,Large_Intestine,0.00022845171042717993,0.013465452007949352,0.0,0.0,0.0,0.0,0.9569908380508423,A4GALT,0.0,0.0,0.0,all,epithelial
21,Liver,0.0020874417386949062,0.03710951283574104,0.0,0.0,0.0,0.0,1.1074905395507812,A4GALT,0.0,0.0,0.0,all,epithelial
22,Lung,0.08182098716497421,0.26686033606529236,0.0,0.0,0.0,0.0,2.3501999378204346,A4GALT,0.0,0.0,0.0,all,epithelial
23,Mammary,0.055902909487485886,0.18161630630493164,0.0,0.0,0.0,0.0,1.465056300163269,A4GALT,0.0,0.0,0.0,all,epithelial
24,Pancreas,0.00881042331457138,0.07061069458723068,0.0,0.0,0.0,0.0,1.6062456369400024,A4GALT,0.0,0.0,0.0,all,epithelial
25,Prostate,0.3680803179740906,0.4968436360359192,0.0,0.0,0.0,0.7581844925880432,2.490055561065674,A4GALT,0.7581844925880432,1.895461231470108,0.0,all,epithelial
26,Salivary_Gland,0.043291475623846054,0.15927982330322266,0.0,0.0,0.0,0.0,2.0727765560150146,A4GALT,0.0,0.0,0.0,all,epithelial
27,Small_Intestine,0.0025460694450885057,0.04302564263343811,0.0,0.0,0.0,0.0,1.094429850578308,A4GALT,0.0,0.0,0.0,all,epithelial
28,Thymus,0.07717134803533554,0.19541360437870026,0.0,0.0,0.0,0.0,1.2802120447158813,A4GALT,0.0,0.0,0.0,all,epithelial
29,Tongue,0.03578755259513855,0.1386180967092514,0.0,0.0,0.0,0.0,1.8850361108779907,A4GALT,0.0,0.0,0.0,all,epithelial
30,Trachea,0.49080508947372437,0.5496466159820557,0.0,0.0,0.3246656358242035,0.9327635169029236,2.504585027694702,A4GALT,0.9327635169029236,2.331908792257309,0.0,all,epithelial
31,Uterus,0.20517970621585846,0.2886626422405243,0.0,0.0,0.0,0.3499757796525955,1.3189120292663574,A4GALT,0.3499757796525955,0.8749394491314888,0.0,all,epithelial
32,Bladder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,epithelial
33,Eye,0.0001571388856973499,0.010503743775188923,0.0,0.0,0.0,0.0,0.8469932079315186,A4GNT,0.0,0.0,0.0,all,epithelial
34,Heart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,epithelial
35,Kidney,0.00022127213014755398,0.014104502275586128,0.0,0.0,0.0,0.0,0.9043687582015991,A4GNT,0.0,0.0,0.0,all,epithelial
36,Large_Intestine,7.463680231012404e-05,0.005665323697030544,0.0,0.0,0.0,0.0,0.43005725741386414,A4GNT,0.0,0.0,0.0,all,epithelial
37,Liver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,epithelial
38,Lung,0.00010966208355966955,0.009014761075377464,0.0,0.0,0.0,0.0,0.9802046418190002,A4GNT,0.0,0.0,0.0,all,epithelial
39,Mammary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,epithelial
40,Pancreas,0.007730838842689991,0.06684406846761703,0.0,0.0,0.0,0.0,1.3774352073669434,A4GNT,0.0,0.0,0.0,all,epithelial
41,Prostate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,epithelial
42,Salivary_Gland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,epithelial
43,Small_Intestine,0.005909900180995464,0.07487675547599792,0.0,0.0,0.0,0.0,1.455155849456787,A4GNT,0.0,0.0,0.0,all,epithelial
44,Thymus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,epithelial
45,Tongue,1.7588950868230313e-05,0.0018372678896412253,0.0,0.0,0.0,0.0,0.1919306367635727,A4GNT,0.0,0.0,0.0,all,epithelial
46,Trachea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,all,epithelial
47,Uterus,0.0034998944029212,0.05410730466246605,0.0,0.0,0.0,0.0,0.8364747762680054,A4GNT,0.0,0.0,0.0,all,epithelial
48,Bladder,0.1700146198272705,0.2396928071975708,0.0,0.0,0.0,0.31684521585702896,1.4597057104110718,ABO,0.31684521585702896,0.7921130396425724,0.0,all,epithelial
49,Eye,0.10567144304513931,0.2429092824459076,0.0,0.0,0.0,0.0,1.9145212173461914,ABO,0.0,0.0,0.0,all,epithelial
50,Heart,0.00630149757489562,0.05963018536567688,0.0,0.0,0.0,0.0,1.5530331134796143,ABO,0.0,0.0,0.0,all,epithelial
51,Kidney,0.09311181306838989,0.2569386959075928,0.0,0.0,0.0,0.0,2.018174409866333,ABO,0.0,0.0,0.0,all,epithelial
52,Large_Intestine,0.1533907651901245,0.29345232248306274,0.0,0.0,0.0,0.2244935818016529,1.838009238243103,ABO,0.2244935818016529,0.5612339545041323,0.0,all,epithelial
53,Liver,0.001325833611190319,0.04010026529431343,0.0,0.0,0.0,0.0,1.464033603668213,ABO,0.0,0.0,0.0,all,epithelial
54,Lung,0.1618371605873108,0.29679757356643677,0.0,0.0,0.0,0.25752364844083786,1.925115942955017,ABO,0.25752364844083786,0.6438091211020947,0.0,all,epithelial
55,Mammary,0.0045668561942875385,0.05899268761277199,0.0,0.0,0.0,0.0,1.7992991209030151,ABO,0.0,0.0,0.0,all,epithelial
56,Pancreas,0.04206947982311249,0.14778417348861694,0.0,0.0,0.0,0.0,1.9177333116531372,ABO,0.0,0.0,0.0,all,epithelial
57,Prostate,0.044448621571063995,0.17498931288719177,0.0,0.0,0.0,0.0,2.1021697521209717,ABO,0.0,0.0,0.0,all,epithelial
58,Salivary_Gland,0.007512808311730623,0.0720997229218483,0.0,0.0,0.0,0.0,1.4549039602279663,ABO,0.0,0.0,0.0,all,epithelial
59,Small_Intestine,0.12480304390192032,0.2760273814201355,0.0,0.0,0.0,0.0,1.8129019737243652,ABO,0.0,0.0,0.0,all,epithelial
60,Thymus,0.08074983209371567,0.18491117656230927,0.0,0.0,0.0,0.0,1.1595264673233032,ABO,0.0,0.0,0.0,all,epithelial
61,Tongue,0.08808741718530655,0.22401930391788483,0.0,0.0,0.0,0.0,1.7109323740005493,ABO,0.0,0.0,0.0,all,epithelial
62,Trachea,0.17861221730709076,0.3522804081439972,0.0,0.0,0.0,0.15678077191114426,2.127591848373413,ABO,0.15678077191114426,0.39195192977786064,0.0,all,epithelial
63,Uterus,0.03072746843099594,0.1335524469614029,0.0,0.0,0.0,0.0,1.197594165802002,ABO,0.0,0.0,0.0,all,epithelial
64,Bladder,0.09773373603820801,0.18135225772857666,0.0,0.0,0.0,0.179903332144022,1.5033000707626343,AGA,0.179903332144022,0.44975833036005497,0.0,all,epithelial
65,Eye,0.08958057314157486,0.2279984951019287,0.0,0.0,0.0,0.0,2.0339889526367188,AGA,0.0,0.0,0.0,all,epithelial
66,Heart,0.07319558411836624,0.1755932867527008,0.0,0.0,0.0,0.0,1.7689346075057983,AGA,0.0,0.0,0.0,all,epithelial
67,Kidney,0.08866029977798462,0.25055161118507385,0.0,0.0,0.0,0.0,1.7900948524475098,AGA,0.0,0.0,0.0,all,epithelial
68,Large_Intestine,0.03624017909169197,0.142838254570961,0.0,0.0,0.0,0.0,1.3578099012374878,AGA,0.0,0.0,0.0,all,epithelial
69,Liver,0.06515856832265854,0.20883452892303467,0.0,0.0,0.0,0.0,1.5803256034851074,AGA,0.0,0.0,0.0,all,epithelial
70,Lung,0.1609598845243454,0.2729281783103943,0.0,0.0,0.0,0.2921927943825722,1.8373430967330933,AGA,0.2921927943825722,0.7304819859564304,0.0,all,epithelial
71,Mammary,0.11478663235902786,0.26321232318878174,0.0,0.0,0.0,0.0,1.7017070055007935,AGA,0.0,0.0,0.0,all,epithelial
72,Pancreas,0.15638965368270874,0.2784898579120636,0.0,0.0,0.0,0.24081289023160934,1.8016188144683838,AGA,0.24081289023160934,0.6020322255790234,0.0,all,epithelial
73,Prostate,0.07473883032798767,0.2296769917011261,0.0,0.0,0.0,0.0,2.1866283416748047,AGA,0.0,0.0,0.0,all,epithelial
