,compartment,mean,std,min,25%,50%,75%,max,gene,iqr,upper,lower,cell_type,tissue_in_publication
0,immune,0.00012805552978534251,0.012314523570239544,0.0,0.0,0.0,0.0,1.5545035600662231,A3GALT2,0.0,0.0,0.0,all,all
1,immune,0.004835973959416151,0.06066003441810608,0.0,0.0,0.0,0.0,2.112644672393799,A4GALT,0.0,0.0,0.0,all,all
2,immune,0.0003507265355437994,0.013561312109231949,0.0,0.0,0.0,0.0,1.3671056032180786,A4GNT,0.0,0.0,0.0,all,all
3,immune,0.0038220195565372705,0.05552966147661209,0.0,0.0,0.0,0.0,1.9818100929260254,ABO,0.0,0.0,0.0,all,all
4,immune,0.0981006771326065,0.2865159809589386,0.0,0.0,0.0,0.0,3.577592134475708,AGA,0.0,0.0,0.0,all,all
5,immune,0.04968312755227089,0.19998383522033691,0.0,0.0,0.0,0.0,2.3040263652801514,ALG1,0.0,0.0,0.0,all,all
6,immune,0.02278110943734646,0.14165569841861725,0.0,0.0,0.0,0.0,2.3306915760040283,ALG10,0.0,0.0,0.0,all,all
7,immune,0.026653552427887917,0.15458357334136963,0.0,0.0,0.0,0.0,2.312727689743042,ALG10B,0.0,0.0,0.0,all,all
8,immune,0.04426131024956703,0.20064039528369904,0.0,0.0,0.0,0.0,2.086561441421509,ALG11,0.0,0.0,0.0,all,all
9,immune,0.052499789744615555,0.2182341367006302,0.0,0.0,0.0,0.0,2.243574380874634,ALG12,0.0,0.0,0.0,all,all
10,immune,0.30771490931510925,0.5122689604759216,0.0,0.0,0.0,0.6011779308319092,4.062658786773682,ALG13,0.6011779308319092,1.502944827079773,0.0,all,all
11,immune,0.042233534157276154,0.17880140244960785,0.0,0.0,0.0,0.0,2.5463225841522217,ALG14,0.0,0.0,0.0,all,all
12,immune,0.001957319211214781,0.04385068640112877,0.0,0.0,0.0,0.0,2.1419434547424316,ALG1L,0.0,0.0,0.0,all,all
13,immune,0.007402902003377676,0.08478043228387833,0.0,0.0,0.0,0.0,2.2094056606292725,ALG1L2,0.0,0.0,0.0,all,all
14,immune,0.11324860900640488,0.3079353868961334,0.0,0.0,0.0,0.0,2.7179527282714844,ALG2,0.0,0.0,0.0,all,all
15,immune,0.11659549176692963,0.3049551248550415,0.0,0.0,0.0,0.0,2.270378828048706,ALG3,0.0,0.0,0.0,all,all
16,immune,0.17197643220424652,0.37517550587654114,0.0,0.0,0.0,0.0,2.475208044052124,ALG5,0.0,0.0,0.0,all,all
17,immune,0.0617690272629261,0.23703144490718842,0.0,0.0,0.0,0.0,2.4552741050720215,ALG6,0.0,0.0,0.0,all,all
18,immune,0.0739891305565834,0.24673961102962494,0.0,0.0,0.0,0.0,2.1484932899475098,ALG8,0.0,0.0,0.0,all,all
19,immune,0.029803434386849403,0.1612938642501831,0.0,0.0,0.0,0.0,2.1600594520568848,ALG9,0.0,0.0,0.0,all,all
20,immune,0.0937504842877388,0.2843944728374481,0.0,0.0,0.0,0.0,3.0123989582061768,AMDHD2,0.0,0.0,0.0,all,all
21,immune,0.05631273239850998,0.21217399835586548,0.0,0.0,0.0,0.0,2.8664538860321045,ARSB,0.0,0.0,0.0,all,all
22,immune,0.06189671531319618,0.24166080355644226,0.0,0.0,0.0,0.0,2.5255331993103027,ARSG,0.0,0.0,0.0,all,all
23,immune,0.04171057417988777,0.2001223862171173,0.0,0.0,0.0,0.0,2.49650502204895,ARSK,0.0,0.0,0.0,all,all
24,immune,0.012450281530618668,0.1011936217546463,0.0,0.0,0.0,0.0,2.423121213912964,B3GALNT1,0.0,0.0,0.0,all,all
25,immune,0.07186786830425262,0.2524149715900421,0.0,0.0,0.0,0.0,3.468921422958374,B3GALNT2,0.0,0.0,0.0,all,all
26,immune,0.00022208629525266588,0.013845986686646938,0.0,0.0,0.0,0.0,1.601169466972351,B3GALT1,0.0,0.0,0.0,all,all
27,immune,0.01256828848272562,0.1201372742652893,0.0,0.0,0.0,0.0,2.968907117843628,B3GALT2,0.0,0.0,0.0,all,all
28,immune,0.08580036461353302,0.27790510654449463,0.0,0.0,0.0,0.0,2.5202605724334717,B3GALT4,0.0,0.0,0.0,all,all
29,immune,0.0004346348578110337,0.021543502807617188,0.0,0.0,0.0,0.0,2.0845038890838623,B3GALT5,0.0,0.0,0.0,all,all
30,immune,0.08269183337688446,0.26694875955581665,0.0,0.0,0.0,0.0,2.3730428218841553,B3GALT6,0.0,0.0,0.0,all,all
31,immune,0.010995564982295036,0.11846043914556503,0.0,0.0,0.0,0.0,3.3395204544067383,B3GAT1,0.0,0.0,0.0,all,all
32,immune,0.02997376210987568,0.17225278913974762,0.0,0.0,0.0,0.0,2.2906131744384766,B3GAT2,0.0,0.0,0.0,all,all
33,immune,0.15638193488121033,0.35783669352531433,0.0,0.0,0.0,0.0,2.5600709915161133,B3GAT3,0.0,0.0,0.0,all,all
34,immune,0.03211105242371559,0.17480400204658508,0.0,0.0,0.0,0.0,2.444312334060669,B3GLCT,0.0,0.0,0.0,all,all
35,immune,0.16416354477405548,0.38772547245025635,0.0,0.0,0.0,0.0,3.9385013580322266,B3GNT2,0.0,0.0,0.0,all,all
36,immune,0.0004721189325209707,0.020842893049120903,0.0,0.0,0.0,0.0,1.7393662929534912,B3GNT3,0.0,0.0,0.0,all,all
37,immune,0.0023485682904720306,0.0489700511097908,0.0,0.0,0.0,0.0,2.029095411300659,B3GNT4,0.0,0.0,0.0,all,all
38,immune,0.12146598845720291,0.377375066280365,0.0,0.0,0.0,0.0,3.9389822483062744,B3GNT5,0.0,0.0,0.0,all,all
39,immune,0.00037502814666368067,0.018648235127329826,0.0,0.0,0.0,0.0,1.5818586349487305,B3GNT6,0.0,0.0,0.0,all,all
40,immune,0.037819672375917435,0.1879355013370514,0.0,0.0,0.0,0.0,2.9743807315826416,B3GNT7,0.0,0.0,0.0,all,all
