,tissue_in_publication,mean,std,min,25%,50%,75%,max,gene,iqr,upper,lower,cell_type,compartment
0,Bladder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,immune
1,Blood,0.00047035139868967235,0.02433878183364868,0.0,0.0,0.0,0.0,1.5545035600662231,A3GALT2,0.0,0.0,0.0,all,immune
2,Bone_Marrow,0.0002639259910210967,0.01591482199728489,0.0,0.0,0.0,0.0,1.1693055629730225,A3GALT2,0.0,0.0,0.0,all,immune
3,Eye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,immune
4,Fat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,immune
5,Heart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,immune
6,Kidney,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,immune
7,Large_Intestine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,immune
8,Liver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,immune
9,Lung,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,immune
10,Lymph_Node,1.9033413991564885e-05,0.0025237530935555696,0.0,0.0,0.0,0.0,0.3834913969039917,A3GALT2,0.0,0.0,0.0,all,immune
11,Mammary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,immune
12,Muscle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,immune
13,Pancreas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,immune
14,Prostate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,immune
15,Salivary_Gland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,immune
16,Skin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,immune
17,Small_Intestine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,immune
18,Spleen,0.00024320452939718962,0.017598984763026237,0.0,0.0,0.0,0.0,1.4546523094177246,A3GALT2,0.0,0.0,0.0,all,immune
19,Thymus,6.668173591606319e-05,0.007201515603810549,0.0,0.0,0.0,0.0,0.8679317235946655,A3GALT2,0.0,0.0,0.0,all,immune
20,Tongue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,immune
