,compartment,mean,std,min,25%,50%,75%,max,gene,iqr,upper,lower,cell_type,tissue_in_publication
0,stromal,0.00011730472033377737,0.01083869393914938,0.0,0.0,0.0,0.0,1.298314094543457,A3GALT2,0.0,0.0,0.0,all,all
1,stromal,0.23133547604084015,0.39905476570129395,0.0,0.0,0.0,0.4338376671075821,2.686478614807129,A4GALT,0.4338376671075821,1.0845941677689552,0.0,all,all
2,stromal,3.43798310495913e-05,0.003940224647521973,0.0,0.0,0.0,0.0,0.5723567605018616,A4GNT,0.0,0.0,0.0,all,all
3,stromal,0.008978045545518398,0.08482390642166138,0.0,0.0,0.0,0.0,1.950380563735962,ABO,0.0,0.0,0.0,all,all
4,stromal,0.05838151276111603,0.1992543339729309,0.0,0.0,0.0,0.0,3.0715878009796143,AGA,0.0,0.0,0.0,all,all
5,stromal,0.05310272052884102,0.18297314643859863,0.0,0.0,0.0,0.0,2.0444552898406982,ALG1,0.0,0.0,0.0,all,all
6,stromal,0.01743702031672001,0.10915222764015198,0.0,0.0,0.0,0.0,2.3067355155944824,ALG10,0.0,0.0,0.0,all,all
7,stromal,0.04130902886390686,0.17294654250144958,0.0,0.0,0.0,0.0,2.085017681121826,ALG10B,0.0,0.0,0.0,all,all
8,stromal,0.043232955038547516,0.17149417102336884,0.0,0.0,0.0,0.0,2.137643337249756,ALG11,0.0,0.0,0.0,all,all
9,stromal,0.07007776200771332,0.2135297656059265,0.0,0.0,0.0,0.0,2.133694887161255,ALG12,0.0,0.0,0.0,all,all
10,stromal,0.19773077964782715,0.35640713572502136,0.0,0.0,0.0,0.3437327668070793,2.9585704803466797,ALG13,0.3437327668070793,0.8593319170176983,0.0,all,all
11,stromal,0.09535200893878937,0.2487945556640625,0.0,0.0,0.0,0.0,2.3368616104125977,ALG14,0.0,0.0,0.0,all,all
12,stromal,0.004877525381743908,0.05721060931682587,0.0,0.0,0.0,0.0,2.069443702697754,ALG1L,0.0,0.0,0.0,all,all
13,stromal,0.009219410829246044,0.08333227038383484,0.0,0.0,0.0,0.0,2.0196845531463623,ALG1L2,0.0,0.0,0.0,all,all
14,stromal,0.16584491729736328,0.3244931995868683,0.0,0.0,0.0,0.1996006928384304,2.5383217334747314,ALG2,0.1996006928384304,0.499001732096076,0.0,all,all
15,stromal,0.15243937075138092,0.3075057864189148,0.0,0.0,0.0,0.0,2.2855734825134277,ALG3,0.0,0.0,0.0,all,all
16,stromal,0.23400406539440155,0.36903002858161926,0.0,0.0,0.0,0.4735386371612549,2.2600626945495605,ALG5,0.4735386371612549,1.1838465929031372,0.0,all,all
17,stromal,0.04140845686197281,0.1664823740720749,0.0,0.0,0.0,0.0,2.0553627014160156,ALG6,0.0,0.0,0.0,all,all
18,stromal,0.10793126374483109,0.26195937395095825,0.0,0.0,0.0,0.0,1.9742074012756348,ALG8,0.0,0.0,0.0,all,all
19,stromal,0.033856719732284546,0.1536807417869568,0.0,0.0,0.0,0.0,2.5620005130767822,ALG9,0.0,0.0,0.0,all,all
