,tissue_in_publication,mean,std,min,25%,50%,75%,max,gene,iqr,upper,lower,cell_type,compartment
0,Bladder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,stromal
1,Eye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,stromal
2,Fat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,stromal
3,Heart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,stromal
4,Large_Intestine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,stromal
5,Liver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,stromal
6,Lung,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,stromal
7,Lymph_Node,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,stromal
8,Mammary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,stromal
9,Muscle,0.00011061397526646033,0.010746680200099945,0.0,0.0,0.0,0.0,1.0941654443740845,A3GALT2,0.0,0.0,0.0,all,stromal
10,Pancreas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,stromal
11,Prostate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,stromal
12,Salivary_Gland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,stromal
13,Skin,0.0003895331756211817,0.022488269954919815,0.0,0.0,0.0,0.0,1.298314094543457,A3GALT2,0.0,0.0,0.0,all,stromal
14,Small_Intestine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,stromal
15,Thymus,0.0009600100456736982,0.029666610062122345,0.0,0.0,0.0,0.0,1.2203415632247925,A3GALT2,0.0,0.0,0.0,all,stromal
16,Tongue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,stromal
17,Trachea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,stromal
18,Uterus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,stromal
19,Vasculature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,all,stromal
20,Bladder,0.20101386308670044,0.35952016711235046,0.0,0.0,0.0,0.3858884871006012,2.16243839263916,A4GALT,0.3858884871006012,0.964721217751503,0.0,all,stromal
21,Eye,0.10876000672578812,0.2810900807380676,0.0,0.0,0.0,0.0,1.9564841985702515,A4GALT,0.0,0.0,0.0,all,stromal
22,Fat,0.23263144493103027,0.365070641040802,0.0,0.0,0.0,0.47533321380615234,2.190850019454956,A4GALT,0.47533321380615234,1.1883330345153809,0.0,all,stromal
23,Heart,0.0839206799864769,0.22859114408493042,0.0,0.0,0.0,0.0,2.2098870277404785,A4GALT,0.0,0.0,0.0,all,stromal
24,Large_Intestine,0.2284037470817566,0.43842586874961853,0.0,0.0,0.0,0.0,2.0589334964752197,A4GALT,0.0,0.0,0.0,all,stromal
