,Uniprot ID,Organism,Taxonomy-ID,Gene Name,HGNC number,Gene synonym,Recommended Name,Short Names,Alternative Names,OMIM,Catalytic: Reaction,Catalytic: Rhea,Catalytic: EC,Brenda,Reactome ID,CAZy,GeneID,KEGG
0,P15291,Homo sapiens,9606,B4GALT1,HGNC:924;,GGTB2,"Beta-1,4-galactosyltransferase 1","Beta-1,4-GalTase 1;Beta4Gal-T1;b4Gal-T1;","Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase;Beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase;Lactose synthase A protein;N-acetyllactosamine synthase;Nal synthase;Neolactotriaosylceramide beta-1,4-galactosyltransferase;UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 1;UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 1;",137060;607091;620364;,D-glucose + UDP-alpha-D-galactose = lactose + UDP + H(+);an N-acetyl-beta-D-glucosaminyl derivative + UDP-alpha-D-galactose = a beta-D-galactosyl-(1->4)-N-acetyl-beta-D-glucosaminyl derivative + UDP + H(+);N-acetyl-D-glucosamine + UDP-alpha-D-galactose = beta-D-galactosyl-(1->4)-N-acetyl-D-glucosamine + UDP + H(+);a beta-D-GlcNAc-(1->3)-beta-D-Gal-(1->4)-beta-D-Glc-(1<->1)-Cer(d18:1(4E)) + UDP-alpha-D-galactose = a neolactoside nLc4Cer(d18:1(4E)) + UDP + H(+);a beta-D-glucosylceramide + UDP-alpha-D-galactose = a beta-D-galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide + UDP + H(+);a neolactoside IV(3)-beta-GlcNAc-nLc4Cer + UDP-alpha-D-galactose = a neolactoside nLc6Cer + UDP + H(+);,RHEA:12404;RHEA:22932;RHEA:17745;RHEA:31499;RHEA:62552;RHEA:62548;,2.4.1.275;2.4.1.38;2.4.1.90;2.4.1.22;2.4.1.-;,2.4.1.133;2.4.1.22;2.4.1.38;2.4.1.90;,R-HSA-1912420;R-HSA-2022854;R-HSA-2534343;R-HSA-3656244;R-HSA-4793953;R-HSA-5653890;R-HSA-6798695;R-HSA-975577;,GT7;,2683;,
1,O60512,Homo sapiens,9606,B4GALT3,HGNC:926;,,"Beta-1,4-galactosyltransferase 3","Beta-1,4-GalTase 3;Beta4Gal-T3;b4Gal-T3;","Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase;Beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase;N-acetyllactosamine synthase;Nal synthase;Neolactotriaosylceramide beta-1,4-galactosyltransferase;UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 3;UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 3;",604014;,an N-acetyl-beta-D-glucosaminyl derivative + UDP-alpha-D-galactose = a beta-D-galactosyl-(1->4)-N-acetyl-beta-D-glucosaminyl derivative + UDP + H(+);N-acetyl-D-glucosamine + UDP-alpha-D-galactose = beta-D-galactosyl-(1->4)-N-acetyl-D-glucosamine + UDP + H(+);a beta-D-GlcNAc-(1->3)-beta-D-Gal-(1->4)-beta-D-Glc-(1<->1)-Cer(d18:1(4E)) + UDP-alpha-D-galactose = a neolactoside nLc4Cer(d18:1(4E)) + UDP + H(+);a beta-D-glucosylceramide + UDP-alpha-D-galactose = a beta-D-galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide + UDP + H(+);a neolactoside IV(3)-beta-GlcNAc-nLc4Cer + UDP-alpha-D-galactose = a neolactoside nLc6Cer + UDP + H(+);,RHEA:22932;RHEA:17745;RHEA:31499;RHEA:62552;RHEA:62548;,2.4.1.90;2.4.1.-;2.4.1.275;2.4.1.38;,,R-HSA-2022854;R-HSA-975577;,GT7;,8703;,
2,O60513,Homo sapiens,9606,B4GALT4,HGNC:927;,,"Beta-1,4-galactosyltransferase 4","Beta-1,4-GalTase 4;Beta4Gal-T4;b4Gal-T4;","Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase;Lactotriaosylceramide beta-1,4-galactosyltransferase;N-acetyllactosamine synthase;Nal synthase;UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 4;UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 4;",604015;,N-acetyl-D-glucosamine + UDP-alpha-D-galactose = beta-D-galactosyl-(1->4)-N-acetyl-D-glucosamine + UDP + H(+);a beta-D-GlcNAc-(1->3)-beta-D-Gal-(1->4)-beta-D-Glc-(1<->1)-Cer(d18:1(4E)) + UDP-alpha-D-galactose = a neolactoside nLc4Cer(d18:1(4E)) + UDP + H(+);3-O-{beta-D-galactosyl-(1->3)-[6-O-sulfo-N-acetyl-beta-D-glucosaminyl-(1->6)]-N-acetyl-alpha-D-galactosaminyl}-L-seryl-[protein] + UDP-alpha-D-galactose = 3-O-{beta-D-galactosyl-(1->3)-[beta-D-galactosyl-(1->4)-6-O-sulfo-N-acetyl-beta-D-glucosaminyl-(1->6)]-N-acetyl-alpha-D-galactosaminyl}-L-seryl-[protein] + UDP + H(+);3-O-{beta-D-galactosyl-(1->3)-[6-O-sulfo-N-acetyl-beta-D-glucosaminyl-(1->6)]-N-acetyl-alpha-D-galactosaminyl}-L-threonyl-[protein] + UDP-alpha-D-galactose = 3-O-{beta-D-galactosyl-(1->3)-[beta-D-galactosyl-(1->4)-6-O-sulfo-N-acetyl-beta-D-glucosaminyl-(1->6)]-N-acetyl-alpha-D-galactosaminyl}-L-threonyl-[protein] + UDP + H(+);,RHEA:17745;RHEA:31499;RHEA:67948;RHEA-COMP:17367;RHEA-COMP:17398;RHEA:67872;RHEA-COMP:17370;RHEA-COMP:17397;,2.4.1.90;2.4.1.275;2.4.1.-;,2.4.1.275;,R-HSA-2022854;R-HSA-975577;,GT7;,8702;,
3,O60909,Homo sapiens,9606,B4GALT2,HGNC:925;,,"Beta-1,4-galactosyltransferase 2","Beta-1,4-GalTase 2;Beta4Gal-T2;b4Gal-T2;","Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase;Beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase;Lactose synthase A protein;N-acetyllactosamine synthase;Nal synthase;UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 2;UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 2;",604013;,D-glucose + UDP-alpha-D-galactose = lactose + UDP + H(+);an N-acetyl-beta-D-glucosaminyl derivative + UDP-alpha-D-galactose = a beta-D-galactosyl-(1->4)-N-acetyl-beta-D-glucosaminyl derivative + UDP + H(+);N-acetyl-D-glucosamine + UDP-alpha-D-galactose = beta-D-galactosyl-(1->4)-N-acetyl-D-glucosamine + UDP + H(+);,RHEA:12404;RHEA:22932;RHEA:17745;,2.4.1.22;2.4.1.90;2.4.1.-;2.4.1.38;,2.4.1.38;2.4.1.90;,R-HSA-2022854;R-HSA-975577;,GT7;,8704;,
4,O43286,Homo sapiens,9606,B4GALT5,HGNC:928;,,"Beta-1,4-galactosyltransferase 5","Beta-1,4-GalTase 5;Beta4Gal-T5;b4Gal-T5;","Beta-1,4-GalT II;Glucosylceramide beta-1,4-galactosyltransferase;Lactosylceramide synthase;UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 5;UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 5;",604016;,a beta-D-glucosyl-(1<->1')-N-acylsphing-4-enine + UDP-alpha-D-galactose = a beta-D-Gal-(1->4)-beta-D-Glc-(1<->1)-Cer(d18:1(4E)) + UDP + H(+);,RHEA:31495;,2.4.1.274;2.4.1.-;,2.4.1.274;2.4.1.38;2.4.1.90;,R-HSA-2022854;R-HSA-913709;R-HSA-975577;R-HSA-9840309;,GT7;,9334;,
5,Q9Y5Z6,Homo sapiens,9606,B3GALT1,HGNC:916;,,"Beta-1,3-galactosyltransferase 1","Beta-1,3-GalTase 1;Beta3Gal-T1;Beta3GalT1;","UDP-galactose:beta-N-acetyl-glucosamine-beta-1,3-galactosyltransferase 1;",603093;,an N-acetyl-beta-D-glucosaminyl derivative + UDP-alpha-D-galactose = a beta-D-galactosyl-(1->3)-N-acetyl-beta-D-glucosaminyl derivative + UDP + H(+);a beta-D-GlcNAc-(1->3)-beta-D-Gal-(1->4)-beta-D-Glc-(1<->1)-Cer(d18:1(4E)) + UDP-alpha-D-galactose = a beta-D-Gal-(1->3)-beta-D-GlcNAc-(1->3)-beta-D-Gal-(1->4)-beta-D-Glc-(1<->1')-Cer(d18:1(4E)) + UDP + H(+);,RHEA:53432;RHEA:16045;,2.4.1.86;,2.4.1.134;,R-HSA-9037629;,GT31;,8708;,
6,O43825,Homo sapiens,9606,B3GALT2,HGNC:917;,,"Beta-1,3-galactosyltransferase 2","Beta-1,3-GalTase 2;Beta3Gal-T2;Beta3GalT2;",UDP-galactose:2-acetamido-2-deoxy-D-glucose 3beta-galactosyltransferase 2;,603018;,an N-acetyl-beta-D-glucosaminyl derivative + UDP-alpha-D-galactose = a beta-D-galactosyl-(1->3)-N-acetyl-beta-D-glucosaminyl derivative + UDP + H(+);a beta-D-GlcNAc-(1->3)-beta-D-Gal-(1->4)-beta-D-Glc-(1<->1)-Cer(d18:1(4E)) + UDP-alpha-D-galactose = a beta-D-Gal-(1->3)-beta-D-GlcNAc-(1->3)-beta-D-Gal-(1->4)-beta-D-Glc-(1<->1')-Cer(d18:1(4E)) + UDP + H(+);a neolactoside IV(3)-beta-GlcNAc-nLc4Cer(d18:1(4E)) + UDP-alpha-D-galactose = a neolactoside IV(3)-beta-[Gal-beta-(1->3)-GlcNAc]-nLc4Cer(d18:1(4E)) + UDP + H(+);,RHEA:53432;RHEA:16045;RHEA:41936;,2.4.1.86;,2.4.1.62;,R-HSA-9037629;,GT31;,8707;,
7,O60507,Homo sapiens,9606,TPST1,HGNC:12020;,,Protein-tyrosine sulfotransferase 1,,Tyrosylprotein sulfotransferase 1;,603125;,"L-tyrosyl-[protein] + 3'-phosphoadenylyl sulfate = O-sulfo-L-tyrosine-[protein] + adenosine 3',5'-bisphosphate + H(+);",RHEA:16801;RHEA-COMP:10136;RHEA-COMP:11688;,2.8.2.20;,2.8.2.20;,R-HSA-156584;R-HSA-163841;R-HSA-9674519;,,8460;,
8,O60704,Homo sapiens,9606,TPST2,HGNC:12021;,,Protein-tyrosine sulfotransferase 2,,Tyrosylprotein sulfotransferase 2;,603126;,"L-tyrosyl-[protein] + 3'-phosphoadenylyl sulfate = O-sulfo-L-tyrosine-[protein] + adenosine 3',5'-bisphosphate + H(+);",RHEA:16801;RHEA-COMP:10136;RHEA-COMP:11688;,2.8.2.20;,2.8.2.20;,R-HSA-156584;R-HSA-163841;R-HSA-9674519;,,8459;,
9,O43252,Homo sapiens,9606,PAPSS1,HGNC:8603;,ATPSK1,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1,PAPS synthase 1;PAPSS 1;,Sulfurylase kinase 1;,603262;,sulfate + ATP + H(+) = adenosine 5'-phosphosulfate + diphosphate;adenosine 5'-phosphosulfate + ATP = 3'-phosphoadenylyl sulfate + ADP + H(+);,RHEA:18133;RHEA:24152;,2.7.7.4;2.7.1.25;,2.7.1.25;2.7.7.4;,R-HSA-174362;R-HSA-2408550;R-HSA-6802952;,,9061;,
