Gene ID	Gene Symbol	Transcript ID	Gene Tax ID	miRNA	Site Type	UTR_start	UTR end	context++ score	context++ score percentile	weighted context++ score	weighted context++ score percentile	Predicted relative KD
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-23a-3p	3	142	149	-0.428	97	-0.388	97	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-23b-3p	3	142	149	-0.428	97	-0.388	97	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9598	ptr-miR-23a	3	143	150	-0.419	97	-0.419	98	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9598	ptr-miR-23b	3	143	150	-0.419	97	-0.419	98	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9598	ptr-miR-23c	3	143	150	-0.419	97	-0.419	98	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9606	hsa-miR-23c	3	143	150	-0.434	97	-0.434	98	-3.4802
ENSG00000121410.7	A1BG	ENST00000263100.3	9606	hsa-miR-23b-3p	3	143	150	-0.434	97	-0.434	98	-3.4802
ENSG00000121410.7	A1BG	ENST00000263100.3	9606	hsa-miR-23a-3p	3	143	150	-0.434	97	-0.434	98	-3.4802
ENSG00000121410.7	A1BG	ENST00000263100.3	9606	hsa-miR-130a-5p	3	143	150	-0.416	97	-0.416	98	-3.7623
ENSG00000121410.7	A1BG	ENST00000263100.3	9615	cfa-miR-23a	3	141	148	-0.344	97	-0.072	80	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9615	cfa-miR-23b	3	141	148	-0.344	97	-0.072	80	NULL
ENSG00000148584.10	A1CF	ENST00000374001.2	8364	xtr-miR-200b	3	155	162	-0.408	97	-0.023	48	NULL
ENSG00000148584.10	A1CF	ENST00000374001.2	8364	xtr-miR-429	3	155	162	-0.408	97	-0.023	48	NULL
ENSG00000148584.10	A1CF	ENST00000374001.2	8364	xtr-miR-302	3	174	181	-0.607	99	-0.032	42	NULL
ENSG00000148584.10	A1CF	ENST00000374001.2	8364	xtr-miR-428a	3	174	181	-0.591	99	-0.031	42	NULL
ENSG00000148584.10	A1CF	ENST00000374001.2	9544	mml-miR-7	1	275	281	-0.037	67	-0.011	60	NULL
ENSG00000148584.10	A1CF	ENST00000374001.2	9544	mml-miR-873-5p	3	284	291	-0.030	82	-0.009	70	NULL
ENSG00000148584.10	A1CF	ENST00000374001.2	9544	mml-miR-7179-3p	3	284	291	-0.039	77	-0.011	70	NULL
ENSG00000148584.10	A1CF	ENST00000374001.2	9544	mml-miR-30c-5p	3	306	313	-0.123	67	-0.035	52	NULL
ENSG00000148584.10	A1CF	ENST00000374001.2	9544	mml-miR-30e-5p	3	306	313	-0.099	60	-0.028	47	NULL
ENSG00000148584.10	A1CF	ENST00000374001.2	9544	mml-miR-30d-5p	3	306	313	-0.123	69	-0.035	53	NULL
ENSG00000148584.10	A1CF	ENST00000374001.2	9544	mml-miR-30a-5p	3	306	313	-0.115	66	-0.033	52	NULL
ENSG00000148584.10	A1CF	ENST00000374001.2	9544	mml-miR-30b-5p	3	306	313	-0.123	67	-0.035	52	NULL
ENSG00000148584.10	A1CF	ENST00000374001.2	9544	mml-miR-758-3p	3	459	466	-0.116	85	-0.033	73	NULL
ENSG00000148584.10	A1CF	ENST00000374001.2	9544	mml-miR-143-3p	3	848	855	-0.086	70	-0.025	54	NULL
ENSG00000148584.10	A1CF	ENST00000374001.2	9544	mml-miR-9-5p	2	2774	2780	-0.066	76	-0.013	60	NULL
ENSG00000148584.10	A1CF	ENST00000374001.2	9544	mml-miR-497-5p	3	3256	3263	-0.245	92	-0.045	64	NULL
ENSG00000148584.10	A1CF	ENST00000374001.2	9544	mml-miR-15a-5p	3	3256	3263	-0.224	89	-0.041	60	NULL
ENSG00000148584.10	A1CF	ENST00000374001.2	9544	mml-miR-16-5p	3	3256	3263	-0.192	86	-0.036	59	NULL
ENSG00000148584.10	A1CF	ENST00000374001.2	9544	mml-miR-424-5p	3	3256	3263	-0.229	90	-0.042	63	NULL
ENSG00000148584.10	A1CF	ENST00000374001.2	9544	mml-miR-15b-5p	3	3256	3263	-0.224	89	-0.041	60	NULL
ENSG00000148584.10	A1CF	ENST00000374001.2	9544	mml-miR-195-5p	3	3256	3263	-0.192	86	-0.036	59	NULL
ENSG00000148584.10	A1CF	ENST00000374001.2	9544	mml-let-7i-5p	3	3269	3276	-0.186	71	-0.035	48	NULL
ENSG00000148584.10	A1CF	ENST00000374001.2	9544	mml-miR-6134	3	3269	3276	-0.178	69	-0.033	47	NULL
ENSG00000148584.10	A1CF	ENST00000374001.2	9544	mml-let-7a-5p	3	3269	3276	-0.178	70	-0.033	47	NULL
ENSG00000148584.10	A1CF	ENST00000374001.2	9544	mml-let-7b-5p	3	3269	3276	-0.178	70	-0.033	48	NULL
