GeneSymbol,CAZy,ECNo,EnzClass,Uniprot,DNARef,KEGG,KEGGPath,ProteinRef,GeneID,GlyClass,ProteinName,Organism,Constraints,Status,Reactant,co_R,Product,co_P,Comments,OMIMNo,Compartment,AddMono,Remove,ReplaceMono,Substrate,Product_1,Vm,Km,KineticsUnits,ER,Cis,Medial,Trans,TGN,Tissues,Organs,Donor,ReactomeID,isOriginal,isDrawGlycan
A3GALT2,,2.4.1.87,Glycosyltransferase,U3KPV4,NM_001080438.1,,No Record,NP_001073907.1,127550,GSL,"Alpha-1,3-galactosyltransferase 2",Homo sapiens,,done,Gal(b1-4)GlcNAc(b1-?)-R,UDP-Gal,Gal(a1-3)Gal(b1-4)GlcNAc(b1-?)-R,UDP,"* A3GALT2 mRNA is not detected in human tissues. In other species, like mice, this enzyme catalyzes the formation of isoglobotrihexosylceramide or isogloboside 3 (iGb3) by catalyzing the transfer of galactose from UDP-Galactose to its acceptor molecule Gal-beta-1,4-Glc-Cer. * Due to the lack of this activity iGb3 is absent in humans.",0,,,,NULL,no reaction,,0,0,pM,1,1,1,1,1,Muscular/Epithelial/Connective/Nervous,Musculoskeletal/Pancreas/Bladder/Spleen/Mouth/Liver/Ovaries/Brain/Stomach/Lungs/Prostate/Eyes/Intestines/Kidney/Heart,UDP,,1,0
A4GALT,GT32,2.4.1.228,Glycosyltransferase,Q9NPC4,NM_001318038.1,K01988,ko00601/ko00603/ko01100,NP_001304967.1,53947,GSL,Lactosylceramide 4-alpha-galactosyltransferase,Homo sapiens,,done,Gal(β1-4)Glc(α1-?)-Cer,UDP-Gal,Gal(α1-4)Gal(β1-4)Glc(α1-?)-Cer,UDP,"* Catalyzes transfer of galactose from UDP-galactose to lactosylceramide.
* This results in the formation of Pk (Gb3) antigen, which is a precursor for globo-series glycosphingolipids. This is also called Gb3/CD77 synthase.
* The Pk antigen can be further extended to form Gb4 (P-antigen), Gb5 (SSEA-3), sialylated-Gb5 (SSEA-4) and fucosylated-Gb5 (Globo-H).
* A4GalT also forms the P1 blood group antigen.
* Gb3 is a ligand for Shiga-toxin, which can induce hemolytic uremic syndrome. This antigen is also expressed during advanced stages of colon cancers, and may be involved in metastasis.
* Globosides SSEA3 and SSEA4 are used as markers for embryonal stem cells. Fucosylgalactosylgloboside (Globo-H) is defined as a lung cancer antigen and also as a marker of breast cancer.
* Gb4 can compete with LPS to bind TLR4-MD-2.",607922,Cis/Medial/Trans/TGN,Gal(a1-4),,,Gal(b1-4)Glc(b1-?)Cer or Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-?)Cer,Gal(a1-4)Gal(b1-4)Glc(b1-?)Cer or Gal(a1-4)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-?)Cer,0,0,pM,1,1,1,1,1,,,UDP,,1,1
A4GNT,GT32,2.4.1.-,Glycosyltransferase,Q9UNA3,NM_016161.2,K08251,No Record,NP_057245.1,51146,O_linked,"Alpha-1,4-N-acetylglucosaminyltransferase",Homo sapiens,,done,Gal(β1-4)GlcNAc(β1-6)[Gal(β1-3)]GalNAc;Gal(β1-4)GlcNAc(β1-6)[Gal(β1-3)]GalNAc,UDP-GlcNAc;UDP-GlcNAc,GlcNAc(α1-4)Gal(β1-4)GlcNAc(β1-6)[Gal(β1-3)]GalNAc;Gal(β1-4)GlcNAc(β1-6)[GlcNAc(α1-4)Gal(β1-3)]GalNAc,UDP;UDP,"* Transfers GlcNAc(α1-4) to βGal preferentially present in O-glycans forming GlcNAc(α1-4)Galβ-R or terminal αGlcNAc.
* The enzyme shows preference to act on core-2 glycan rather than core-1 glycans indicating a role for GlcNAc(β1-6) in promoting its activity. It extends the core-1 arm of O-glycans.
* It can act on both arms of core-2 glycan to core structures like GlcNAc(α1-4)Gal(β1-4)GlcNAc(β1-6)[GlcNAc(α1-4)Gal(β1-3)]GalNAc.
* A4GNT is expressed in stomach, gall bladder, duodenum, and thus such structures are normally restricted to gland & gastric mucins, particulalry MUC6 with a small amount also being associated with MUC5AC.
* αGlcNAc is also expressed in pancreatic ducts showing gastric metaplasia or pancreatic intraepithelial neoplasia 1 (PanIN-1).
* A4gnt knockout mice revealed that αGlcNAc serves as a tumor suppressor of differentiated type of gastric adenocarcinoma. In addition, αGlcNAc protects gastric gland mucous cells from H. pylori infection. Thus, αGlcNAc plays a dual role to prevent the gastric mucosa from gastric tumorigenesis.",0,,GlcNAc(a1-4),,,Gal(b1-?),GlcNAc(a1-4)Gal(b1-?),0,0,pM,1,1,1,1,1,,,UDP,R-HSA-913709,1,1
ABO,GT6,2.4.1.40,Glycosyltransferase,P16442,NM_020469.2,K00709,ko00601/ko01100,NP_065202.2,28,N_linked/O_linked/GSL,Histo-blood group ABO system transferase,Homo sapiens,,done,Fuc(α1-2)Gal(β-?);Fuc(α1-2)Gal(β-?),UDP-GalNAc;UDP-Gal,GalNAc(α1-3)Fuc(α1-2)Gal(β-?);Gal(α1-3)Fuc(α1-2)Gal(β-?),UDP;UDP,"Single gene with two activities:
* GTA provides α(1,3)GalNAc-transferase activity in blood gp. A individuals.
* GTB provides α(1,3)Gal-transferase activity in blood gp. B individuals.
* Enzyme activity is truncated in O-blood group individuals.
* Four critical differences in amino acid substitution in GTA and GTB enzymes are 176 Arg for A vs. 176 Gly for B, 235 Gly (A) vs. Ser (B), 266 Leu (A) vs. Met (B), and 268 Gly (A) vs. Ala (B). The most common O allele, O1, is characterized by the deletion of nucleotide 261 G, causing a frame shift resulting in a termination codon at 352-4. The transcribed protein is shorter and dysfunctional.",110300,Cis/Medial/Trans/TGN,GalNAc(a1-3) or Gal(a1-3),,,Fuc(a1-2)Gal(b1-?),Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-?) or Fuc(a1-2)[Gal(a1-3)]Gal(b1-?),0,0,pM,1,1,1,1,1,,,UDP,R-HSA-9033807,1,1
ALG1,GT33,2.4.1.142,Glycosyltransferase,Q9BT22,NM_001330504.1,K03842,ko00510/ko00513/ko01100,NP_001317433.1,56052,N_linked,Chitobiosyldiphosphodolichol beta-mannosyltransferase,Homo sapiens,,done,GlcNAc(b1-4)GlcNAc(a1-?)-PP-Dol,GDP-Man,Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)-PP-Dol,GDP,"* These enzymes (Alg1, Alg2, Alg11) sequentially add 5-mannose from GDP-man to generate Man5Glc2-PP-Dol.
* Alg1 is a β1-4Mannosyltransferase.
* Alg2 adds both α(1-3) and α(1-6) Mannose to Man1GlcNAc2-PP-Dol.
* Alg11 adds additional α(1-2)Man to the 3-arm of the N-glycan precursor
* Alg1, Alg2, and Alg11 mannosyltransferases are ER membrane proteins with catalytic domains that face the cytosol and that use GDP-man as the sugar donor for mannosylation.
* Deficiencies in Alg1, Alg2, and Alg11 result in CDG-Ik, CDG-Ii and CDG-Ip, respectively.
* Intermediate glycans built on dolichol phosphate containing 7 monosaccharides are flipped into the ER lumen. This is further built with 4 additional Man and 3 Glc.",605907,ER,Man(b1-4),,,GlcNAc(b1-4)GlcNAc(a1-?)Dol-PP,Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)Dol-PP,0,0,pM,1,1,1,1,1,,,GDP,R-HSA-446193,1,1
ALG10,GT59,2.4.1.256,Glycosyltransferase,Q5BKT4,NM_032834.3,K03850,ko00510/ko01100,NP_116223.3,84920,N_linked,"Dol-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-Dol alpha-1,2-glucosyltransferase",Homo sapiens,,done,Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)[Glc(a1-3)Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)-PP-Dol,Glc-P-Dol,Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)[Glc(a1-2)Glc(a1-3)Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)-PP-Dol,P-Dol,"* Dol-P-Glc is formed from UDP-Glc using ALG5.
* Three Glc residues are then transferred from Dol-P-Glc to the LLO using ER-resident ALG6 [α(1,3)GlcT], ALG8 [α(1,3)GlcT] and ALG10 [α(1,2)GlcT].",0,ER,Glc(a1-2),,,Glc(a1-3)Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3),Glc(a1-2)Glc(a1-3)Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3),0,0,pM,1,1,1,1,1,,,P-Dol,R-HSA-446193,1,1
ALG10B,,2.4.1.256,Glycosyltransferase,Q5I7T1,NM_001013620.3,,No Record,NP_001013642.1,144245,N_linked,"Putative Dol-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-Dol alpha-1,2-glucosyltransferase",Homo sapiens,,done,Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)[Glc(a1-3)Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)-PP-Dol,Glc-P-Dol,Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)[Glc(a1-2)Glc(a1-3)Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)-PP-Dol,P-Dol,* Putative α(1-2)GlcT that has same function as ALG10.,603313,ER,,,NULL,Glc(a1-3)Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3),Glc(a1-2)Glc(a1-3)Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3),0,0,pM,1,0,0,0,0,,,UDP,R-HSA-446193,1,1
ALG11,GT4,2.4.1.131,Glycosyltransferase,Q2TAA5,NM_001004127.2,K03844,ko00510/ko00513/ko01100,NP_001004127.2,440138,N_linked,"GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase",Homo sapiens,nMan<4,done,Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)-PP-Dol;Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)-PP-Dol;,GDP-Man;GDP-Man,Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)-PP-Dol;Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)-PP-Dol,GDP;GDP,"* These enzymes (Alg1, Alg2, Alg11) sequentially add 5-mannose from GDP-man to generate Man5Glc2-PP-Dol.
* Alg1 is a β1-4Mannosyltransferase.
* Alg2 adds both α(1-3) and α(1-6) Mannose to Man1GlcNAc2-PP-Dol.
* Alg11 adds additional α(1-2)Man to the 3-arm of the N-glycan precursor
* Alg1, Alg2, and Alg11 mannosyltransferases are ER membrane proteins with catalytic domains that face the cytosol and that use GDP-man as the sugar donor for mannosylation.
* Deficiencies in Alg1, Alg2, and Alg11 result in CDG-Ik, CDG-Ii and CDG-Ip, respectively.
* Intermediate glycans built on dolichol phosphate containing 7 monosaccharides are flipped into the ER lumen. This is further built with 4 additional Man and 3 Glc.",613666,ER,Man(a1-2),,,Man(a1-3)...GlcNAc(a1-?)Dol-PP or Man(a1-2)...GlcNAc(a1-?)Dol-PP,Man(a1-2)Man(a1-3)...GlcNAc(a1-?)Dol-PP or Man(a1-2)Man(a1-2)...GlcNAc(a1-?)Dol-PP,0,0,pM,1,1,1,1,1,,,GDP,R-HSA-446193,1,1
ALG12,GT22,2.4.1.260,Glycosyltransferase,Q9BV10,NM_024105.3,K03847,ko00510/ko00513/ko01100,NP_077010.1,79087,N_linked,"Dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase",Homo sapiens,nMan=7&nMan(a1-6)=1,done,Man(a1-2)Man(a1-3)Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)-PP-Dol,Man-P-Dol,Man(a1-2)Man(a1-3)[Man(a1-6)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(a1-?)-PP-Dol,P-Dol,"* Extension of Man5GlcNAc2-P-P-Dol in the ER lumen involves the addition of four Man (by ALG3 [α(1,3)ManT], ALG9 [α(1,2)ManT], ALG12 [α(1,6)ManT] followed by ALG9 [α(1,2)ManT] again) and three Glc residues (by ALG6 [α(1,3)GlcT], ALG8 [α(1,3)GlcT] and ALG10 [α(1,2)GlcT]). 
* In all instances the transfer uses either Dol-P-Man or Dol-P-Glc as donor. 
* Dol-P-Man is formed from GDP-Man using enzymes DPM1,2,3.
* Dol-P-Glc is formed from UDP-Glc using ALG5.",607144,ER,Man(a1-6),,,Man(a1-2)Man(a1-3)Man(a1-6),Man(a1-2)Man(a1-3)[Man(a1-6)]Man(a1-6),0,0,pM,1,1,1,1,1,,,P-Dol,R-HSA-446193,1,1
ALG13,GT1,2.4.1.141,Glycosyltransferase,Q9NP73,NM_001039210.4,K07432,ko00510/ko00513/ko01100,NP_001034299.3,79868,N_linked,Putative bifunctional UDP-N-acetylglucosamine transferase and deubiquitinase ALG13,Homo sapiens,,done,GlcNAc(a1-?)-PP-Dol,UDP-GlcNAc,GlcNAc(b1-4)GlcNAc(a1-?)-PP-Dol,UDP,"* Alg13/Alg14 are part of a heterodimer that transfers second GlcNAc from UDP-GlcNAc to generate Dol-PP-GlcNAc2.
* Cells lacking these activities grow slowly, and mutations in Alg13 leads to CDG-1r.",300776,ER,GlcNAc(b1-4),,,GlcNAc(a1-?)Dol-PP,GlcNAc(b1-4)GlcNAc(a1-?)Dol-PP,0,0,pM,1,1,1,1,1,,,UDP,R-HSA-446193,1,1
