Gene ID	Gene Symbol	Transcript ID	Gene Tax ID	miRNA	Site Type	UTR_start	UTR end	context++ score	context++ score percentile	weighted context++ score	weighted context++ score percentile	Predicted relative KD
ENSG00000121410.7	A1BG	ENST00000263100.3	13616	mdo-miR-129-3p	2	52	58	-0.278	93	-0.060	66	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	13616	mdo-miR-140-3p	2	70	76	-0.209	89	-0.046	65	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	13616	mdo-miR-193a-5p	1	155	161	-0.218	86	-0.047	52	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	13616	mdo-miR-22-3p	2	30	36	-0.125	70	-0.028	49	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	13616	mdo-miR-28	2	33	39	-0.110	72	-0.025	43	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	13616	mdo-miR-30c-1-3p	2	58	64	-0.116	66	-0.026	37	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	13616	mdo-miR-7254-5p	1	72	78	-0.140	74	-0.031	56	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	13616	mdo-miR-7258-3p	1	164	170	-0.141	88	-0.031	70	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	13616	mdo-miR-7273-5p	2	43	49	-0.166	85	-0.037	61	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	13616	mdo-miR-7277-5p	1	129	135	-0.144	76	-0.032	54	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	13616	mdo-miR-7277-5p	1	19	25	-0.194	83	-0.194	88	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	13616	mdo-miR-7288-3p	1	72	78	-0.223	95	-0.048	69	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	13616	mdo-miR-7325-5p	2	96	102	-0.277	94	-0.059	73	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	13616	mdo-miR-7333-5p	2	170	176	-0.142	94	-0.032	82	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	13616	mdo-miR-7352-3p	2	114	120	-0.131	88	-0.029	71	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	13616	mdo-miR-7361-3p	2	201	207	-0.276	92	-0.059	65	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	13616	mdo-miR-7372-3p	2	206	212	-0.435	98	0.000	0	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	13616	mdo-miR-7373a-5p	2	52	58	-0.267	92	-0.057	65	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	13616	mdo-miR-7373b-5p	2	52	58	-0.289	93	-0.062	67	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	13616	mdo-miR-7373c-5p	2	52	58	-0.267	92	-0.057	65	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	13616	mdo-miR-7373d-5p	2	52	58	-0.267	92	-0.057	66	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	13616	mdo-miR-7374a-5p	2	52	58	-0.267	92	-0.057	66	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	13616	mdo-miR-7374b-5p	2	52	58	-0.267	92	-0.057	64	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	13616	mdo-miR-7375-5p	2	52	58	-0.266	92	-0.057	66	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	13616	mdo-miR-7377-3p	3	132	139	-0.542	98	-0.108	74	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9031	gga-miR-1687-5p	2	34	40	-0.020	12	0.000	0	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9031	gga-miR-6633-5p	2	34	40	-0.020	11	0.000	0	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-106b-3p	2	38	44	-0.308	91	-0.308	94	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-10a-5p	2	243	249	-0.129	84	-0.029	63	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-10b-5p	2	243	249	-0.129	84	-0.029	63	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-1224-3p	3	633	640	-0.193	91	-0.042	72	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-1224-5p	2	29	35	-0.150	92	-0.150	94	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-1225-3p	3	585	592	-0.422	98	-0.087	84	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-1225-5p	2	770	776	-0.116	82	-0.026	64	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-1226	2	23	29	-0.223	92	-0.223	94	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-1233	1	585	591	-0.142	81	-0.032	52	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-1243-5p	2	629	635	-0.020	22	-0.005	40	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-1247-3p	1	876	882	-0.125	73	-0.028	49	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-124a-3p	1	436	442	-0.151	64	-0.033	44	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-124a-3p	2	1124	1130	-0.135	61	-0.030	41	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-125a-5p	1	818	824	-0.083	66	-0.019	48	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-125a-5p	3	668	675	-0.257	93	-0.055	69	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-125b-5p	1	818	824	-0.095	69	-0.021	52	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-125b-5p	3	668	675	-0.249	92	-0.054	68	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-1260b	2	634	640	-0.138	75	-0.031	59	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-1304	2	301	307	-0.325	84	-0.069	51	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-133b-5p	1	785	791	-0.090	57	-0.020	37	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-134-3p	2	887	893	-0.020	40	-0.005	42	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-140-5p	2	996	1002	-0.088	70	-0.020	51	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-15a-3p	2	724	730	-0.020	34	-0.005	36	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-15a-5p	2	19	25	-0.088	67	-0.088	76	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-15b-5p	2	19	25	-0.088	67	-0.088	76	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-16-5p	2	19	25	-0.055	57	-0.055	68	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-18a-5p	1	493	499	-0.010	33	-0.002	39	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-18a-5p	2	718	724	-0.090	79	-0.020	60	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-18b	1	493	499	-0.010	34	-0.002	39	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-18b	2	718	724	-0.090	79	-0.020	60	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-1911-3p	3	1013	1020	-0.205	92	-0.045	67	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-195-5p	2	19	25	-0.055	57	-0.055	68	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-196a-3p	1	73	79	-0.050	69	-0.050	79	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-198	2	50	56	-0.103	76	-0.103	83	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-19a-3p	2	966	972	-0.044	35	-0.010	29	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-19b	2	966	972	-0.044	35	-0.010	29	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-204-3p	2	878	884	-0.020	33	-0.005	39	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-204-3p	3	732	739	-0.030	51	-0.007	42	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-214-3p	1	1001	1007	-0.225	95	-0.049	74	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-214-5p	1	481	487	-0.064	73	-0.014	62	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-216a-3p	2	997	1003	-0.200	94	-0.044	75	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-24-3p	1	488	494	-0.034	55	-0.008	47	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-28-3p	2	1136	1142	-0.222	94	-0.048	72	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-299-3p	1	789	795	-0.175	85	-0.038	64	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-3059-5p	2	809	815	-0.020	39	-0.005	39	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-30b-3p	2	846	852	-0.077	60	-0.017	51	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-30b-3p	2	884	890	-0.020	31	-0.005	39	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-30b-3p	3	340	347	-0.167	81	-0.037	64	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-30b-3p	3	611	618	-0.229	90	-0.050	69	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-30c-1-3p	1	308	314	-0.037	44	-0.008	37	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-30c-2-3p	1	308	314	-0.122	74	-0.027	47	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-3122	1	613	619	-0.010	41	-0.002	56	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-3151	2	63	69	-0.278	78	-0.278	85	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-335-5p	2	579	585	-0.046	75	-0.010	65	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-339-3p	2	111	117	-0.293	79	-0.293	85	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-339-5p	2	242	248	-0.235	89	-0.051	71	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-361-3p	2	97	103	-0.147	80	-0.147	86	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-369-3p	2	1061	1067	-0.045	86	-0.010	76	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-370-3p	2	735	741	-0.047	67	-0.011	52	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-371-5p	1	237	243	-0.010	43	-0.002	57	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-372-5p	1	237	243	-0.010	35	-0.002	50	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-374a-3p	1	1079	1085	-0.099	82	-0.022	66	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-374b-3p	2	125	131	-0.234	90	-0.234	93	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-377-5p	1	796	802	-0.185	88	-0.041	63	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-378a	2	852	858	-0.054	53	-0.012	40	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-378d	2	852	858	-0.054	53	-0.012	40	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-380-5p	1	656	662	-0.073	50	-0.016	34	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-384	2	129	135	-0.191	94	-0.191	96	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-3927	2	779	785	-0.109	70	-0.024	45	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-412-3p	1	145	151	-0.173	89	-0.158	91	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-422a	2	852	858	-0.043	47	-0.010	37	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-424-5p	2	19	25	-0.052	57	-0.052	68	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-429-3p	3	1059	1066	-0.163	91	-0.036	76	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-4446-5p	2	910	916	-0.020	58	-0.005	55	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-450a-1-3p	1	613	619	-0.132	82	-0.029	60	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-450a-1-3p	2	991	997	-0.048	53	-0.011	44	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-452-3p	1	239	245	-0.164	90	-0.036	69	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-455-3p	2	52	58	-0.084	73	-0.084	80	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-4703-3p	1	1068	1074	-0.080	74	-0.018	55	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-4716	2	597	603	-0.162	71	-0.036	33	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-4743	1	651	657	-0.226	80	-0.049	30	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-484	2	356	362	-0.020	60	-0.005	56	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-485-5p	2	299	305	-0.020	19	-0.005	32	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-485-5p	2	337	343	-0.085	58	-0.019	46	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-485-5p	2	458	464	-0.066	50	-0.015	43	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-485-5p	2	608	614	-0.092	60	-0.021	51	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-485-5p	2	881	887	-0.020	19	-0.005	32	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-490-3p	2	312	318	-0.115	80	-0.026	64	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-495-3p	2	156	162	-0.109	96	-0.024	89	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-497-3p	1	1116	1122	-0.010	55	-0.002	60	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-497-5p	2	19	25	-0.074	65	-0.074	74	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-504-3p	2	112	118	-0.268	85	-0.268	88	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-504-5p	2	244	250	-0.214	85	-0.047	56	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-505-5p	2	290	296	-0.020	39	-0.005	37	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-505-5p	2	91	97	-0.178	85	-0.178	89	NULL
ENSG00000121410.7	A1BG	ENST00000263100.3	9544	mml-miR-505-5p	3	58	65	-0.447	98	-0.447	98	NULL
