Gene ID,Gene Symbol,Transcript ID,Gene Tax ID,miRNA,Site Type,UTR_start,UTR end,context++ score,context++ score percentile,weighted context++ score,weighted context++ score percentile,Predicted relative KD
ENSG00000118017.3,A4GNT,ENST00000236709.3,9606,hsa-miR-22-3p,3,397,404,-0.601,99,-0.601,99,-5.8503
ENSG00000253710.1,ALG11,ENST00000523764.1,9606,hsa-miR-383-5p.1,3,149,156,-0.627,99,-0.627,99,-4.6623
ENSG00000253710.1,ALG11,ENST00000523764.1,9606,hsa-miR-613,2,170,176,-0.329,96,-0.329,97,-5.1247
ENSG00000253710.1,ALG11,ENST00000523764.1,9606,hsa-miR-1-3p,2,170,176,-0.317,96,-0.317,97,-4.8537
ENSG00000253710.1,ALG11,ENST00000523764.1,9606,hsa-miR-206,2,170,176,-0.317,96,-0.317,97,-4.8537
ENSG00000253710.1,ALG11,ENST00000523764.1,9606,hsa-miR-140-3p.1,1,183,189,-0.298,97,-0.298,98,-2.3899
ENSG00000172339.9,ALG14,ENST00000370205.5,9606,hsa-miR-539-3p,2,322,328,-0.304,94,-0.193,88,-4.5798
ENSG00000172339.9,ALG14,ENST00000370205.5,9606,hsa-miR-485-3p,2,322,328,-0.263,96,-0.168,93,-3.1994
ENSG00000172339.9,ALG14,ENST00000370205.5,9606,hsa-miR-154-3p,2,323,329,-0.317,98,-0.201,96,-4.8868
ENSG00000172339.9,ALG14,ENST00000370205.5,9606,hsa-miR-487a-3p,2,323,329,-0.317,98,-0.201,96,-4.532
ENSG00000172339.9,ALG14,ENST00000370205.5,9606,hsa-miR-130b-3p,2,535,541,-0.258,94,-0.006,43,-4.2969
ENSG00000172339.9,ALG14,ENST00000370205.5,9606,hsa-miR-454-3p,2,535,541,-0.261,95,-0.006,41,-3.9308
ENSG00000172339.9,ALG14,ENST00000370205.5,9606,hsa-miR-301b-3p,2,535,541,-0.291,96,-0.007,44,-4.2969
ENSG00000172339.9,ALG14,ENST00000370205.5,9606,hsa-miR-301a-3p,2,535,541,-0.291,96,-0.007,44,-4.2902
ENSG00000172339.9,ALG14,ENST00000370205.5,9606,hsa-miR-487a-3p,3,1477,1484,-0.389,99,-0.008,54,-5.2973
ENSG00000172339.9,ALG14,ENST00000370205.5,9606,hsa-miR-154-3p,3,1477,1484,-0.381,99,-0.008,55,-5.7835
ENSG00000119523.8,ALG2,ENST00000476832.1,9606,hsa-miR-200a-3p,3,214,221,-0.364,99,-0.321,99,-3.5947
ENSG00000119523.8,ALG2,ENST00000476832.1,9606,hsa-miR-141-3p,3,214,221,-0.364,99,-0.321,98,-3.5947
ENSG00000119523.8,ALG2,ENST00000476832.1,9606,hsa-miR-124-3p.1,3,318,325,-0.609,99,-0.53,99,-5.9366
ENSG00000119523.8,ALG2,ENST00000476832.1,9606,hsa-miR-124-3p.2,3,319,326,-0.425,97,-0.371,96,-4.6638
ENSG00000119523.8,ALG2,ENST00000476832.1,9606,hsa-miR-506-3p,3,319,326,-0.365,97,-0.32,97,-4.0427
ENSG00000119523.8,ALG2,ENST00000476832.1,9606,hsa-miR-19a-3p,3,529,536,-0.467,99,-0.407,98,-4.8982
ENSG00000119523.8,ALG2,ENST00000476832.1,9606,hsa-miR-19b-3p,3,529,536,-0.467,99,-0.407,98,-4.8982
ENSG00000214160.5,ALG3,ENST00000418734.2,9606,hsa-miR-17-5p,3,194,201,-0.572,99,-0.038,84,-4.4937
ENSG00000214160.5,ALG3,ENST00000418734.2,9606,hsa-miR-20a-5p,3,194,201,-0.559,99,-0.037,84,-4.6184
ENSG00000214160.5,ALG3,ENST00000418734.2,9606,hsa-miR-20b-5p,3,194,201,-0.58,99,-0.038,85,-4.6496
ENSG00000214160.5,ALG3,ENST00000418734.2,9606,hsa-miR-519d-3p,3,194,201,-0.588,99,-0.039,84,-4.8095
ENSG00000214160.5,ALG3,ENST00000418734.2,9606,hsa-miR-526b-3p,3,194,201,-0.499,99,-0.034,89,-4.3142
ENSG00000214160.5,ALG3,ENST00000418734.2,9606,hsa-miR-106a-5p,3,194,201,-0.569,99,-0.038,84,-4.6724
ENSG00000214160.5,ALG3,ENST00000418734.2,9606,hsa-miR-106b-5p,3,194,201,-0.551,99,-0.037,84,-4.7308
ENSG00000214160.5,ALG3,ENST00000418734.2,9606,hsa-miR-93-5p,3,194,201,-0.564,99,-0.038,85,-4.6341
ENSG00000214160.5,ALG3,ENST00000418734.2,9606,hsa-miR-202-5p,2,205,211,-0.347,98,-0.025,59,-4.3572
ENSG00000088035.11,ALG6,ENST00000371108.4,9606,hsa-miR-222-3p,3,2220,2227,-0.302,95,-0.071,72,-5.3273
ENSG00000088035.11,ALG6,ENST00000371108.4,9606,hsa-miR-221-3p,3,2220,2227,-0.302,95,-0.071,72,-4.912
ENSG00000088035.11,ALG6,ENST00000371108.4,9606,hsa-miR-215-5p,1,2607,2613,-0.255,96,-0.057,72,-2.9214
ENSG00000088035.11,ALG6,ENST00000371108.4,9606,hsa-miR-192-5p,1,2607,2613,-0.251,96,-0.056,75,-2.8797
ENSG00000088035.11,ALG6,ENST00000371108.4,9606,hsa-miR-155-5p,3,2635,2642,-0.293,95,-0.065,73,-5.3678
ENSG00000088035.11,ALG6,ENST00000371108.4,9606,hsa-miR-218-5p,2,2641,2647,-0.262,93,-0.058,74,-3.132
ENSG00000159063.8,ALG8,ENST00000376156.3,9606,hsa-miR-665,3,114,121,-0.444,99,-0.444,99,-3.2579
ENSG00000159063.8,ALG8,ENST00000376156.3,9606,hsa-miR-431-5p,3,233,240,-0.582,99,-0.582,99,-4.7521
ENSG00000086848.10,ALG9,ENST00000531154.1,9606,hsa-miR-3681-3p,3,3718,3725,-0.274,96,-0.009,46,-4.6108
ENSG00000086848.10,ALG9,ENST00000531154.1,9606,hsa-miR-128-3p,3,3718,3725,-0.256,96,-0.008,48,-4.8959
ENSG00000086848.10,ALG9,ENST00000531154.1,9606,hsa-miR-216a-3p,3,3718,3725,-0.264,96,-0.009,47,-5.0207
ENSG00000086848.10,ALG9,ENST00000531154.1,9606,hsa-miR-107,3,4042,4049,-0.268,95,-0.009,36,-3.929
ENSG00000086848.10,ALG9,ENST00000531154.1,9606,hsa-miR-103a-3p,3,4042,4049,-0.268,95,-0.009,36,-3.929
ENSG00000086848.10,ALG9,ENST00000531154.1,9606,hsa-miR-7-5p,2,4104,4110,-0.302,97,-0.009,56,-5.1064
ENSG00000113273.11,ARSB,ENST00000264914.4,9606,hsa-miR-29c-3p,3,2076,2083,-0.36,95,-0.075,71,-5.5998
ENSG00000113273.11,ARSB,ENST00000264914.4,9606,hsa-miR-29b-3p,3,2076,2083,-0.36,95,-0.075,71,-5.5998
ENSG00000113273.11,ARSB,ENST00000264914.4,9606,hsa-miR-29a-3p,3,2076,2083,-0.36,96,-0.075,71,-5.4278
ENSG00000141337.8,ARSG,ENST00000448504.2,9606,hsa-miR-219a-2-3p,3,951,958,-0.281,96,-0.068,79,-3.813
ENSG00000169255.9,B3GALNT1,ENST00000320474.4,9606,hsa-miR-133a-3p.2,3,244,251,-0.539,98,-0.527,99,-4.4029
ENSG00000169255.9,B3GALNT1,ENST00000320474.4,9606,hsa-miR-133b,3,244,251,-0.539,98,-0.527,99,-4.4029
ENSG00000169255.9,B3GALNT1,ENST00000320474.4,9606,hsa-miR-140-3p.2,3,736,743,-0.52,99,-0.359,99,-4.9885
ENSG00000162885.8,B3GALNT2,ENST00000366600.3,9606,hsa-miR-19a-3p,3,158,165,-0.391,97,-0.391,98,-4.8856
ENSG00000162885.8,B3GALNT2,ENST00000366600.3,9606,hsa-miR-19b-3p,3,158,165,-0.391,97,-0.391,98,-4.8856
ENSG00000162885.8,B3GALNT2,ENST00000366600.3,9606,hsa-miR-125a-5p,2,748,754,-0.311,96,-0.284,96,-3.534
ENSG00000162885.8,B3GALNT2,ENST00000366600.3,9606,hsa-miR-125b-5p,2,748,754,-0.289,95,-0.264,95,-3.534
ENSG00000162885.8,B3GALNT2,ENST00000366600.3,9606,hsa-miR-4319,2,748,754,-0.267,94,-0.244,94,-4.0405
ENSG00000172318.4,B3GALT1,ENST00000392690.3,9606,hsa-miR-424-5p,1,3806,3812,-0.259,93,-0.07,74,-4.7902
ENSG00000172318.4,B3GALT1,ENST00000392690.3,9606,hsa-miR-497-5p,1,3806,3812,-0.283,95,-0.076,76,-4.3843
ENSG00000172318.4,B3GALT1,ENST00000392690.3,9606,hsa-miR-6838-5p,1,3806,3812,-0.311,96,-0.083,76,-4.723
ENSG00000172318.4,B3GALT1,ENST00000392690.3,9606,hsa-miR-15a-5p,1,3806,3812,-0.262,93,-0.071,73,-4.3516
ENSG00000172318.4,B3GALT1,ENST00000392690.3,9606,hsa-miR-15b-5p,1,3806,3812,-0.262,93,-0.071,73,-4.3516
ENSG00000162630.5,B3GALT2,ENST00000367434.4,9606,hsa-miR-92b-3p,2,23,29,-0.407,98,-0.407,99,-5.1697
ENSG00000162630.5,B3GALT2,ENST00000367434.4,9606,hsa-miR-92a-3p,2,23,29,-0.44,99,-0.44,99,-4.8887
ENSG00000162630.5,B3GALT2,ENST00000367434.4,9606,hsa-miR-32-5p,2,23,29,-0.451,99,-0.451,99,-4.5822
ENSG00000162630.5,B3GALT2,ENST00000367434.4,9606,hsa-miR-367-3p,2,23,29,-0.441,98,-0.441,99,-5.2094
ENSG00000162630.5,B3GALT2,ENST00000367434.4,9606,hsa-miR-25-3p,2,23,29,-0.426,98,-0.426,99,-5.0572
ENSG00000162630.5,B3GALT2,ENST00000367434.4,9606,hsa-miR-363-3p,2,23,29,-0.419,98,-0.419,99,-5.2923
ENSG00000162630.5,B3GALT2,ENST00000367434.4,9606,hsa-miR-23c,3,663,670,-0.256,93,-0.256,95,-3.2963
ENSG00000162630.5,B3GALT2,ENST00000367434.4,9606,hsa-miR-130a-5p,3,663,670,-0.254,93,-0.254,95,-3.7154
ENSG00000162630.5,B3GALT2,ENST00000367434.4,9606,hsa-miR-23b-3p,3,663,670,-0.256,93,-0.256,95,-3.2963
ENSG00000162630.5,B3GALT2,ENST00000367434.4,9606,hsa-miR-23a-3p,3,663,670,-0.256,93,-0.256,95,-3.2963
ENSG00000162630.5,B3GALT2,ENST00000367434.4,9606,hsa-miR-494-3p,3,711,718,-0.263,98,-0.263,99,-5.1556
ENSG00000162630.5,B3GALT2,ENST00000367434.4,9606,hsa-miR-653-5p,3,712,719,-0.297,98,-0.297,99,-5.2238
ENSG00000162630.5,B3GALT2,ENST00000367434.4,9606,hsa-miR-183-5p.2,3,1062,1069,-0.486,98,-0.486,99,-5.0039
ENSG00000162630.5,B3GALT2,ENST00000367434.4,9606,hsa-miR-1271-5p,2,1063,1069,-0.254,93,-0.254,95,-4.4728
ENSG00000162630.5,B3GALT2,ENST00000367434.4,9606,hsa-miR-106b-5p,2,1204,1210,-0.364,99,-0.364,99,-4.991
ENSG00000162630.5,B3GALT2,ENST00000367434.4,9606,hsa-miR-519d-3p,2,1204,1210,-0.339,98,-0.339,99,-5.2457
ENSG00000162630.5,B3GALT2,ENST00000367434.4,9606,hsa-miR-526b-3p,2,1204,1210,-0.291,99,-0.291,99,-5.0678
ENSG00000162630.5,B3GALT2,ENST00000367434.4,9606,hsa-miR-17-5p,2,1204,1210,-0.35,98,-0.35,99,-5.2998
ENSG00000162630.5,B3GALT2,ENST00000367434.4,9606,hsa-miR-20a-5p,2,1204,1210,-0.364,99,-0.364,99,-5.0451
ENSG00000162630.5,B3GALT2,ENST00000367434.4,9606,hsa-miR-20b-5p,2,1204,1210,-0.35,98,-0.35,99,-5.3987
ENSG00000162630.5,B3GALT2,ENST00000367434.4,9606,hsa-miR-93-5p,2,1204,1210,-0.35,99,-0.35,99,-5.2913
ENSG00000162630.5,B3GALT2,ENST00000367434.4,9606,hsa-miR-106a-5p,2,1204,1210,-0.354,98,-0.354,99,-5.4841
ENSG00000109956.8,B3GAT1,ENST00000392580.1,9606,hsa-miR-218-5p,2,174,180,-0.276,94,-0.276,96,-3.0385
ENSG00000112309.6,B3GAT2,ENST00000230053.6,9606,hsa-miR-218-5p,2,807,813,-0.256,93,-0.245,94,-3.248
ENSG00000112309.6,B3GAT2,ENST00000230053.6,9606,hsa-miR-875-5p,2,982,988,-0.288,96,-0.276,97,-3.3884
ENSG00000149541.5,B3GAT3,ENST00000534026.1,9606,hsa-miR-98-5p,2,876,882,-0.324,91,-0.001,17,-4.4946
ENSG00000149541.5,B3GAT3,ENST00000534026.1,9606,hsa-let-7b-5p,2,876,882,-0.324,91,-0.001,17,-4.4946
ENSG00000149541.5,B3GAT3,ENST00000534026.1,9606,hsa-let-7i-5p,2,876,882,-0.324,91,-0.001,17,-4.4946
ENSG00000149541.5,B3GAT3,ENST00000534026.1,9606,hsa-let-7g-5p,2,876,882,-0.324,91,-0.001,17,-4.4946
ENSG00000149541.5,B3GAT3,ENST00000534026.1,9606,hsa-let-7a-5p,2,876,882,-0.324,91,-0.001,17,-4.4946
ENSG00000149541.5,B3GAT3,ENST00000534026.1,9606,hsa-let-7c-5p,2,876,882,-0.324,91,-0.001,17,-4.4946
ENSG00000149541.5,B3GAT3,ENST00000534026.1,9606,hsa-let-7e-5p,2,876,882,-0.324,91,-0.001,17,-4.2472
ENSG00000149541.5,B3GAT3,ENST00000534026.1,9606,hsa-let-7f-5p,2,876,882,-0.324,91,-0.001,17,-4.4946
ENSG00000170340.10,B3GNT2,ENST00000301998.4,9606,hsa-miR-141-3p,2,1049,1055,-0.26,97,-0.26,97,-3.7866
ENSG00000176597.7,B3GNT5,ENST00000326505.3,9606,hsa-miR-542-3p,2,27,33,-0.255,95,-0.255,96,-5.2203
ENSG00000176597.7,B3GNT5,ENST00000326505.3,9606,hsa-miR-30e-5p,3,1570,1577,-0.326,96,-0.326,97,-4.4815
ENSG00000176597.7,B3GNT5,ENST00000326505.3,9606,hsa-miR-30c-5p,3,1570,1577,-0.326,96,-0.326,97,-4.4815
ENSG00000176597.7,B3GNT5,ENST00000326505.3,9606,hsa-miR-30d-5p,3,1570,1577,-0.326,96,-0.326,97,-4.4815
ENSG00000176597.7,B3GNT5,ENST00000326505.3,9606,hsa-miR-30a-5p,3,1570,1577,-0.326,96,-0.326,97,-4.4815
ENSG00000176597.7,B3GNT5,ENST00000326505.3,9606,hsa-miR-30b-5p,3,1570,1577,-0.326,96,-0.326,97,-4.4815
ENSG00000176597.7,B3GNT5,ENST00000326505.3,9606,hsa-miR-30b-5p,3,1615,1622,-0.256,92,-0.256,94,-4.56
ENSG00000176597.7,B3GNT5,ENST00000326505.3,9606,hsa-miR-30c-5p,3,1615,1622,-0.256,92,-0.256,94,-4.56
ENSG00000176597.7,B3GNT5,ENST00000326505.3,9606,hsa-miR-30a-5p,3,1615,1622,-0.264,93,-0.264,95,-4.56
ENSG00000176597.7,B3GNT5,ENST00000326505.3,9606,hsa-miR-29a-3p,2,2179,2185,-0.274,91,-0.274,93,-3.4143
ENSG00000176597.7,B3GNT5,ENST00000326505.3,9606,hsa-miR-29c-3p,2,2179,2185,-0.274,91,-0.274,93,-3.581
ENSG00000176597.7,B3GNT5,ENST00000326505.3,9606,hsa-miR-204-5p,3,2220,2227,-0.255,95,-0.255,96,-4.734
ENSG00000176597.7,B3GNT5,ENST00000326505.3,9606,hsa-miR-211-5p,3,2220,2227,-0.255,95,-0.255,96,-4.734
ENSG00000176597.7,B3GNT5,ENST00000326505.3,9606,hsa-miR-141-3p,3,2276,2283,-0.371,99,-0.371,99,-4.2684
ENSG00000176597.7,B3GNT5,ENST00000326505.3,9606,hsa-miR-200a-3p,3,2276,2283,-0.379,99,-0.379,99,-4.2684
ENSG00000156966.6,B3GNT7,ENST00000287590.5,9606,hsa-miR-27b-3p,3,846,853,-0.355,98,-0.355,98,-4.5549
